Neighbourhood,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Metrotown,1479,1496,1559,1541,1555,1586,1679,1718,1895,2086,1967,2165,2650,2517
Mount Pleasant,1442,1450,1788,1598,1672,1628,1655,1713,**,**,2663,**,**,**
New Westminster East,1365,1611,1443,1453,1526,1608,1764,1772,1957,2030,2033,2008,2644,2694
New Westminster West,**,**,**,1072,**,**,**,**,1631,1842,2015,**,**,**
Newton,1199,1223,1179,1241,1246,1304,1375,1410,1237,1814,1696,1873,1747,1903
North Delta,**,**,**,**,**,**,**,**,**,**,**,**,**,**
North False Creek,**,**,**,**,**,**,**,**,**,**,**,**,**,**
North Vancouver District Municipality East,1423,1412,1466,1547,1555,1584,,,,,,,,
North Vancouver District Municipality West,2133,2147,2189,2502,2448,2514,,,,,,,,
Pitt Meadows,1239,1311,1281,1287,1292,1402,**,1609,1606,1711,1624,1671,1941,**
Point Grey,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Port Coquitlam,1498,1533,1471,1500,1466,1492,1507,1418,1403,1445,1589,1823,1799,**
Port Moody,1460,1449,1390,1435,1337,1377,**,**,1855,**,**,1721,2117,2511
Renfrew,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Richmond City Centre,1256,1277,1321,1364,1353,1328,1336,1417,1459,1585,1618,1832,2283,1975
Richmond East,1535,**,1607,1684,1614,1660,1828,1784,1882,1936,**,**,**,**
Richmond South,1344,1421,1444,1503,1485,1578,1677,1616,1783,1766,1836,1747,2179,**
Richmond West,1271,1352,1318,1604,1540,1770,1907,1847,1713,1732,2318,2179,2483,**
Riley Park,**,**,**,**,**,**,**,**,**,**,**,**,**,**
South Cambie,**,**,**,**,**,**,**,**,**,**,**,**,**,**
South False Creek,**,**,**,**,**,**,**,**,**,**,**,**,**,**
South Granville,1778,1980,2029,1961,2059,2113,2002,2006,2172,2456,2326,2476,2316,**
South Surrey,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Southeast Burnaby South,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Sunset,1087,**,1171,1119,1183,1204,1314,**,**,2533,1942,**,3390,**
Surrey City Centre,1119,920,1055,1148,1035,**,**,**,1750,**,2017,**,**,**
Tsawwassen,**,**,**,**,**,**,**,**,**,**,**,**,**,**
University Endowment Lands,2233,2245,2195,2279,2212,2510,2358,2623,2829,2979,3631,3605,3639,3494
University/Lougheed,1399,1444,1434,1429,1500,1499,1686,1792,1844,1932,2009,1910,2156,2221
Uptown,1224,1218,1226,1278,1343,1341,1290,1464,1578,1613,1539,1851,1928,1977
West End/Stanley Park North,2509,2975,3114,3135,3169,3360,3380,3176,3461,**,3264,3377,3415,**
West End/Stanley Park South,2696,2936,2659,2471,2812,2708,2675,3105,2738,**,**,**,**,**
Westside Heights,1493,1484,1482,1500,1384,1418,1487,1697,**,1773,1742,2186,2351,2789
Westside/Kerrisdale Remainder,2520,2644,2761,2419,2104,2308,3112,3447,3324,3534,2999,3341,4256,4635
Whalley,1118,1143,1157,1183,1216,1272,1278,1344,1399,1489,1535,1583,1730,1768
White Rock,1394,1395,1429,1382,**,1592,**,**,**,**,**,**,2660,**
Vancouver,1410,1445,1471,1514,1530,1605,1656,1756,1845,1990,2078,2211,2441,2477
,,,,,,,,,,,,,,
