STREET,CURRENT_LAND_VALUE_2024,CURRENT_LAND_VALUE_2023,CURRENT_LAND_VALUE_2022,CURRENT_LAND_VALUE_2021,CURRENT_LAND_VALUE_2020,CURRENT_IMPROVEMENT_VALUE_2024,CURRENT_IMPROVEMENT_VALUE_2023,CURRENT_IMPROVEMENT_VALUE_2022,CURRENT_IMPROVEMENT_VALUE_2021,CURRENT_IMPROVEMENT_VALUE_2020
197A ST,1248000,1342000,1139000,786000,849000.0,292000.0,295000.0,202000,116000,162000
197A ST,1587000,1712000,1468000,1025000,1100000.0,287000.0,289000.0,195000,115000,166000
197A ST,1186000,1279000,1094000,760700,814000.0,230000.0,232000.0,157000,90700,127000
197A ST,1498000,1610000,1365000,943000,1021000.0,345000.0,348000.0,237000,136000,194000
197A ST,1212000,1304000,1113000,769000,827000.0,257000.0,259000.0,178000,100000,141000
197A ST,1416000,1520000,1289000,894000,941000.0,332000.0,334000.0,227000,135000,162000
197A ST,1229000,1323000,1129000,801000,867000.0,260000.0,262000.0,179000,122000,170000
197A ST,1369000,1471000,1246000,860000,930000.0,326000.0,329000.0,224000,130000,181000
197B ST,1273000,1307000,1152000,842900,785000.0,150000.0,154000.0,122000,64900,100000
197B ST,1356000,1371000,1130000,813600,744500.0,276000.0,262000.0,140000,65600,85500
197B ST,1264000,1298000,1145000,839300,780100.0,141000.0,145000.0,115000,61300,95100
197B ST,1213000,1238000,1061900,800100,725900.0,133000.0,129000.0,71900,52100,66900
197B ST,1269000,1302000,1149000,843100,786000.0,146000.0,149000.0,119000,65100,101000
197B ST,1208000,1233000,1058500,795600,721000.0,128000.0,124000.0,68500,47600,62000
197B ST,1271000,1290000,1090000,820400,750900.0,191000.0,181000.0,100000,72400,91900
197B ST,1223000,1256000,1110000,797400,744400.0,165000.0,169000.0,139000,63400,98400
197B ST,1474000,1508000,1343000,983000,873000.0,248000.0,249000.0,217000,132000,124000
197B ST,1463000,1499000,1308000,941000,903000.0,256000.0,259000.0,200000,103000,166000
197B ST,1726000,1768000,1544000,1119000,1031000.0,287000.0,290000.0,224000,122000,153000
198 ST,1405000,1443000,1273500,943300,863400.0,124000.0,127000.0,99500,55300,82400
198 ST,1454000,1493000,1314000,961100,896000.0,173000.0,177000.0,140000,73100,115000
198 ST,1555000,1585000,1361000,962300,885200.0,240000.0,235000.0,154000,50300,82200
198 ST,1410000,1446000,1288000,956200,872500.0,129000.0,130000.0,114000,68200,91500
198 ST,1485000,1524000,1351000,995000,909000.0,204000.0,208000.0,177000,107000,128000
198 ST,1627000,1666000,1454000,1049000,1000000.0,355000.0,360000.0,289000,168000,225000
198 ST,1433000,1471000,1294000,949300,880000.0,161000.0,165000.0,129000,68300,105000
198 ST,1490000,1523000,1344000,981000,921000.0,218000.0,217000.0,179000,100000,146000
198 ST,1419000,1456000,1283000,946900,874200.0,147000.0,150000.0,118000,65900,99200
198 ST,2112000,2144000,1849000,1290000,1416000.0,840000.0,838000.0,684000,409000,641000
198 ST,1455000,1492000,1312000,961000,899000.0,183000.0,186000.0,147000,80000,124000
198 ST,2044000,2068000,1818000,1362000,1423000.0,772000.0,762000.0,653000,481000,648000
198 ST,1481000,1519000,1330000,971500,914000.0,209000.0,213000.0,165000,90500,139000
198 ST,1158000,1367000,1202000,893600,850000.0,10000.0,188000.0,150000,98600,150000
198 ST,1401000,1436000,1252000,902000,866000.0,253000.0,257000.0,200000,107000,166000
198 ST,1381000,1417000,1240000,903400,853000.0,213000.0,217000.0,169000,93400,141000
198 ST,1576000,1612000,1400000,949000,908000.0,369000.0,372000.0,292000,111000,171000
198 ST,1416000,1452000,1276000,933800,875000.0,190000.0,193000.0,150000,82800,126000
198 ST,1470000,1506000,1314000,962000,926000.0,263000.0,266000.0,206000,124000,189000
198 ST,1245000,1277000,1119000,820200,776000.0,187000.0,190000.0,148000,86200,130000
198 ST,1329000,1360000,1181000,834000,796000.0,271000.0,273000.0,210000,100000,150000
198 ST,1354000,1389000,1217000,882000,836000.0,218000.0,222000.0,175000,95000,143000
198 ST,1332000,1360000,1193000,832000,786000.0,277000.0,277000.0,225000,101000,142000
198 ST,1334000,1366000,1187000,825000,783000.0,270000.0,273000.0,210000,87000,133000
198 ST,1282000,1315000,1151000,839700,794000.0,194000.0,197000.0,154000,85700,131000
198 ST,1388000,1419000,1225000,871000,848000.0,335000.0,338000.0,259000,141000,206000
198 ST,1365000,1394000,1203000,804900,775000.0,348000.0,350000.0,270000,99900,154000
198 ST,1339000,1370000,1183000,843000,822000.0,306000.0,309000.0,236000,128000,192000
198 ST,1267000,1297000,1128000,812000,779000.0,252000.0,255000.0,197000,108000,160000
198 ST,1291000,1388000,1178000,815000,878000.0,295000.0,298000.0,203000,118000,163000
198 ST,1195000,1288000,1097000,761100,816000.0,248000.0,251000.0,170000,99100,137000
198 ST,1203000,1297000,1109000,772300,825000.0,243000.0,246000.0,168000,99300,135000
198 ST,1233000,1328000,1135000,787000,844000.0,261000.0,264000.0,183000,106000,146000
198 ST,1696000,1826000,1554000,1077000,1140000.0,367000.0,371000.0,254000,147000,187000
198 ST,1451000,1569000,1350000,944000,1000000.0,244000.0,247000.0,169000,99000,134000
198 ST,1302000,1405000,1203000,792000,856000.0,247000.0,250000.0,170000,99000,145000
198 ST,1489000,1604000,1372000,928300,982000.0,297000.0,299000.0,204000,93300,126000
198 ST,1552000,1725000,1464000,993000,1064000.0,309000.0,364000.0,246000,122000,171000
198 ST,1203000,1296000,1103000,765000,822000.0,256000.0,259000.0,176000,102000,142000
198 ST,1670000,1795000,1527000,1053000,1127000.0,359000.0,360000.0,244000,135000,186000
198 ST,1215000,1312000,1126000,786200,837000.0,222000.0,225000.0,154000,91200,124000
198 ST,1181000,1276000,1098000,766900,814000.0,209000.0,212000.0,145000,85900,115000
198 ST,1197000,1290000,1103000,769200,820000.0,238000.0,241000.0,164000,97200,131000
198 ST,1210000,1315000,1142000,800400,845300.0,164000.0,170000.0,118000,68400,94300
198 ST,1161000,1254000,1075000,751000,798000.0,214000.0,217000.0,148000,88000,118000
198 ST,1213000,1306000,1110000,770000,827000.0,266000.0,269000.0,183000,108000,148000
198 ST,1270000,1363000,1152000,795000,851000.0,309000.0,311000.0,211000,122000,161000
198 ST,8561000,8904000,8089000,6116000,5401000.0,0.0,0.0,0,0,0
198 ST,1264000,1364000,1168000,812600,866000.0,246000.0,249000.0,170000,99600,134000
198 ST,13795000,0,0,0,0.0,3295000.0,0.0,0,0,0
198 ST,1216000,1310000,1121300,803600,839600.0,157000.0,151000.0,85300,62600,79600
198 ST,1154000,1250000,1081000,742500,780400.0,187000.0,191000.0,133000,64500,85400
198 ST,1085000,1180000,1027500,721500,748600.0,133000.0,138000.0,95500,54500,64600
54 AVE,369500,0,0,0,0.0,92500.0,0.0,0,0,0
198 ST,1025800,1135500,992100,699100,722000.0,49800.0,66500.0,35100,15100,20000
198 ST,1897000,1897000,1519000,1283000,1217000.0,10000.0,10000.0,10000,10000,10000
198 ST,1663000,1663000,1333000,1126000,1068000.0,10000.0,10000.0,10000,10000,10000
198 ST,1613000,1613000,1293000,1087000,1031000.0,10000.0,10000.0,10000,5000,5000
198 ST,5135000,4779000,3688000,2934000,2658000.0,2081000.0,2317000.0,1943000,1465000,1373000
198 ST,7517000,6504000,4956000,4018000,3627000.0,685000.0,994000.0,769000,492000,542000
198 ST,19527000,17066000,12363000,9038000,7856000.0,2570000.0,3391000.0,1970000,286000,198000
198 ST,13377000,10892000,9073000,7830000,7001000.0,605000.0,592000.0,1245000,1238000,1233000
198 ST,3509400,2842800,2010500,1701400,1495600.0,82400.0,78800.0,53500,53400,53600
198 ST,2087000,1995000,1535000,1154000,1072000.0,161000.0,442000.0,360000,165000,197000
198 ST,11791000,9538000,7248000,6124000,5247100.0,204000.0,193000.0,146000,144000,14100
198 ST,19347000,16902000,12203000,9390000,8578000.0,8919000.0,8492000.0,5812000,4008000,3869000
198 ST,6253000,5693000,4349000,3587000,3248000.0,1315000.0,1711000.0,1419000,1120000,1089000
198A ST,1431000,1469000,1299000,943100,862600.0,161000.0,165000.0,135000,64100,88600
198A ST,1389000,1425000,1259200,929900,853400.0,119000.0,121000.0,95200,50900,79400
198A ST,2259000,2278000,1950000,1436000,1590000.0,972000.0,956000.0,769000,544000,805000
198A ST,1511000,1547000,1357000,979000,930000.0,241000.0,243000.0,193000,100000,156000
198A ST,1824000,1863000,1628000,1187000,1233000.0,537000.0,541000.0,447000,295000,448000
198A ST,1544000,1580000,1377000,992000,879000.0,274000.0,276000.0,213000,113000,105000
198A ST,1519000,1549000,1346000,1015000,915000.0,232000.0,227000.0,165000,123000,130000
198A ST,1402000,1439000,1270000,936500,864400.0,132000.0,135000.0,106000,57500,90400
198A ST,1510000,1548000,1369000,992000,936000.0,223000.0,226000.0,188000,100000,151000
198A ST,1390000,1426000,1260100,930700,855300.0,120000.0,122000.0,96100,51700,81300
198A ST,1430000,1462000,1311000,973900,883600.0,143000.0,140000.0,130000,81900,98600
198A ST,1395000,1432000,1266000,933300,858600.0,125000.0,128000.0,102000,54300,84600
198A ST,1660000,1700000,1483000,1073000,1025000.0,373000.0,378000.0,302000,181000,240000
198A ST,1208000,1208000,968000,725000,766900.0,10000.0,10000.0,10000,63000,87900
198B ST,1476000,1511000,1339000,948600,871000.0,213000.0,214000.0,180000,73600,100000
198B ST,1447000,1484000,1306000,954200,894000.0,184000.0,187000.0,147000,79200,123000
198B ST,1572000,1610000,1417000,1013000,962000.0,309000.0,313000.0,258000,138000,191000
198B ST,1567000,1605000,1415000,1015000,961000.0,286000.0,289000.0,241000,127000,180000
198B ST,1578000,1614000,1404000,937100,865400.0,315000.0,317000.0,245000,62100,94400
198B ST,1675000,1708000,1505000,1048000,1043000.0,412000.0,411000.0,346000,173000,272000
198B ST,1627000,1665000,1456000,1018000,956000.0,355000.0,359000.0,291000,137000,181000
198B ST,1690000,1722000,1516000,1061000,1037000.0,420000.0,417000.0,352000,181000,263000
198B ST,1502000,1539000,1346000,973900,925000.0,231000.0,233000.0,181000,93900,150000
198B ST,1659000,1696000,1468000,1038000,1026000.0,385000.0,388000.0,301000,156000,250000
198B ST,1838000,1848000,1570000,1043000,1175000.0,860000.0,844000.0,674000,366000,579000
198B ST,1470000,1510000,1327000,961100,898000.0,192000.0,197000.0,155000,75100,119000
198B ST,1496000,1522000,1312000,949000,1021000.0,519000.0,518000.0,417000,273000,426000
198B ST,1577000,1611000,1396000,971000,924000.0,397000.0,399000.0,314000,154000,205000
198B ST,1560000,1585000,1374000,995000,1077000.0,536000.0,534000.0,435000,285000,452000
198B ST,1513000,1538000,1331000,990000,1069000.0,489000.0,487000.0,392000,280000,444000
198B ST,1362000,1394000,1207000,862000,832000.0,304000.0,307000.0,236000,128000,186000
198B ST,2081000,2096000,1777000,1298000,1489000.0,933000.0,917000.0,725000,503000,789000
198B ST,1392000,1423000,1232000,1009000,1065000.0,310000.0,312000.0,240000,259000,405000
