FOLIO,ADDRESS,2024,2023,2022,2021,2020
151560,4978 196B ST,256000,259000,200000,103000,153000
151550,4988 196B ST,268000,271000,211000,117000,176000
073510,4546 197 ST,208000,212000,164000,95400,142000
073520,4552 197 ST,202000,206000,160000,88600,133000
073640,4555 197 ST,245000,246000,200000,113000,156000
073530,4558 197 ST,202000,204000,168000,100000,137000
073630,4561 197 ST,299000,301000,242000,138000,197000
073540,4564 197 ST,188000,191000,150000,86000,130000
073620,4567 197 ST,206000,209000,164000,90100,136000
073550,4570 197 ST,192000,196000,152000,83900,126000
073560,4576 197 ST,282000,284000,219000,116000,174000
073570,4582 197 ST,193000,197000,153000,85200,129000
073760,4587 197 ST,263000,266000,206000,117000,175000
073580,4588 197 ST,190000,193000,150000,84500,126000
073600,4594 197 ST,285000,287000,221000,124000,169000
071800,4643 197 ST,247000,250000,193000,102000,157000
071810,4652 197 ST,148000,152000,121000,66900,101000
071790,4653 197 ST,179000,183000,145000,76200,115000
071820,4662 197 ST,272000,278000,217000,117000,189000
071780,4663 197 ST,293000,295000,227000,123000,184000
072030,4682 197 ST,145000,148000,118000,63000,102000
071580,4683 197 ST,265000,264000,206000,106000,167000
072040,4692 197 ST,277000,279000,216000,114000,176000
073330,4700 197 ST,209000,212000,165000,91500,139000
150730,5002 197 ST,273000,275000,210000,109000,163000
150740,5010 197 ST,235000,238000,184000,100000,151000
150720,5011 197 ST,214000,218000,169000,93400,142000
150750,5018 197 ST,322000,324000,268000,149000,152000
150710,5021 197 ST,294000,297000,229000,124000,186000
150760,5028 197 ST,267000,270000,211000,95300,150000
150700,5031 197 ST,201000,205000,161000,87500,134000
150530,5055 197 ST,249000,253000,197000,106000,163000
150520,5075 197 ST,229000,231000,180000,88500,132000
123808,5247 197 ST,382000,385000,263000,150000,185000
123809,5257 197 ST,328000,331000,226000,130000,182000
123807,5258 197 ST,275000,278000,190000,110000,153000
123810,5267 197 ST,293000,295000,199000,113000,156000
123806,5268 197 ST,242000,244000,167000,98300,128000
123811,5277 197 ST,263000,265000,180000,105000,141000
123805,5278 197 ST,278000,281000,191000,112000,155000
123812,5287 197 ST,252000,255000,176000,102000,141000
123804,5288 197 ST,252000,255000,173000,98500,135000
123802,5297 197 ST,381000,380000,259000,146000,195000
123803,5298 197 ST,287000,290000,197000,112000,156000
071020,4521 197A ST,382000,370000,319000,142000,191000
071030,4530 197A ST,258000,259000,201000,151000,211000
071010,4531 197A ST,156000,151000,82100,59600,78600
071040,4540 197A ST,481000,480000,383000,260000,403000
071000,4541 197A ST,222000,210000,116000,84600,105000
071050,4550 197A ST,273000,285000,210000,54000,80600
070990,4551 197A ST,232000,232000,192000,63400,87500
071060,4560 197A ST,118000,115000,72100,48400,59800
070980,4561 197A ST,116000,119000,93900,48900,79800
071070,4570 197A ST,1015000,1010000,816000,549000,838000
070970,4571 197A ST,277000,279000,215000,112000,172000
071080,4580 197A ST,484000,485000,417000,256000,386000
070960,4581 197A ST,296000,297000,231000,101000,161000
073780,4620 197A ST,182000,185000,146000,41800,64500
071900,4621 197A ST,170000,174000,137000,74500,118000
071920,4630 197A ST,136000,140000,121000,71100,95100
071890,4631 197A ST,139000,143000,112000,61600,96000
071880,4641 197A ST,243000,246000,204000,125000,168000
071870,4651 197A ST,281000,285000,220000,113000,175000
071860,4661 197A ST,142000,146000,116000,63500,100000
071960,4670 197A ST,225000,228000,180000,93800,152000
071850,4671 197A ST,260000,262000,201000,106000,155000
071970,4680 197A ST,331000,334000,259000,137000,210000
072010,4681 197A ST,191000,194000,151000,81200,123000
072000,4691 197A ST,220000,224000,176000,86600,136000
112060,4917 197A ST,277000,253000,161000,96100,99400
112040,4924 197A ST,166000,169000,132000,71700,110000
112070,4927 197A ST,175000,179000,139000,84900,129000
112030,4934 197A ST,262000,264000,204000,110000,166000
112080,4937 197A ST,305000,309000,246000,136000,198000
112020,4944 197A ST,170000,174000,136000,73600,114000
112090,4947 197A ST,165000,168000,131000,70500,109000
112010,4954 197A ST,420000,420000,327000,169000,247000
112100,4957 197A ST,166000,170000,133000,72200,111000
113800,4962 197A ST,207000,212000,166000,89500,136000
113790,4963 197A ST,195000,199000,164000,112000,161000
113810,4964 197A ST,195000,200000,157000,83200,130000
113780,4967 197A ST,311000,314000,242000,130000,197000
113820,4972 197A ST,213000,218000,171000,84700,131000
113770,4973 197A ST,215000,220000,176000,99400,144000
113830,4974 197A ST,206000,211000,165000,89800,138000
113760,4977 197A ST,208000,213000,166000,94400,139000
113840,4982 197A ST,207000,212000,166000,94900,141000
113750,4983 197A ST,295000,298000,230000,120000,184000
113850,4984 197A ST,199000,204000,160000,86400,133000
113740,4987 197A ST,250000,252000,196000,103000,159000
113860,4992 197A ST,196000,201000,157000,85000,131000
113730,4993 197A ST,270000,273000,210000,113000,168000
113870,4994 197A ST,182000,187000,147000,76500,123000
113720,4997 197A ST,309000,311000,238000,120000,178000
150880,5001 197A ST,261000,264000,204000,112000,166000
150890,5002 197A ST,216000,222000,174000,95700,146000
150900,5006 197A ST,188000,192000,149000,81000,123000
150870,5007 197A ST,402000,403000,325000,143000,205000
150910,5008 197A ST,363000,366000,287000,113000,175000
150860,5017 197A ST,267000,270000,209000,87700,132000
150920,5018 197A ST,233000,238000,185000,102000,155000
150850,5027 197A ST,265000,268000,207000,113000,168000
150930,5028 197A ST,254000,250000,214000,131000,170000
150840,5037 197A ST,213000,217000,170000,89800,132000
150940,5038 197A ST,262000,265000,205000,107000,162000
123790,5209 197A ST,223000,226000,155000,92800,126000
123789,5210 197A ST,217000,219000,150000,88200,118000
123791,5219 197A ST,356000,359000,244000,135000,186000
123788,5220 197A ST,250000,253000,173000,100000,139000
123792,5229 197A ST,296000,298000,209000,117000,161000
123787,5230 197A ST,225000,228000,155000,89100,124000
123793,5239 197A ST,259000,261000,179000,103000,139000
123786,5240 197A ST,338000,340000,235000,133000,185000
123794,5249 197A ST,774000,771000,537000,255000,356000
123785,5250 197A ST,292000,295000,202000,116000,162000
123795,5259 197A ST,287000,289000,195000,115000,166000
123784,5260 197A ST,230000,232000,157000,90700,127000
123796,5269 197A ST,345000,348000,237000,136000,194000
123783,5270 197A ST,257000,259000,178000,100000,141000
123797,5279 197A ST,332000,334000,227000,135000,162000
123798,5289 197A ST,260000,262000,179000,122000,170000
123799,5299 197A ST,326000,329000,224000,130000,181000
111400,4910 197B ST,150000,154000,122000,64900,100000
111290,4911 197B ST,276000,262000,140000,65600,85500
111390,4920 197B ST,141000,145000,115000,61300,95100
111300,4921 197B ST,133000,129000,71900,52100,66900
111380,4930 197B ST,146000,149000,119000,65100,101000
111310,4931 197B ST,128000,124000,68500,47600,62000
111320,4941 197B ST,191000,181000,100000,72400,91900
111360,4950 197B ST,165000,169000,139000,63400,98400
111330,4951 197B ST,248000,249000,217000,132000,124000
111350,4960 197B ST,256000,259000,200000,103000,166000
111340,4961 197B ST,287000,290000,224000,122000,153000
070750,4521 198 ST,124000,127000,99500,55300,82400
070760,4530 198 ST,173000,177000,140000,73100,115000
070740,4531 198 ST,240000,235000,154000,50300,82200
070770,4540 198 ST,129000,130000,114000,68200,91500
070730,4541 198 ST,204000,208000,177000,107000,128000
070780,4550 198 ST,355000,360000,289000,168000,225000
070720,4551 198 ST,161000,165000,129000,68300,105000
070790,4560 198 ST,218000,217000,179000,100000,146000
070710,4561 198 ST,147000,150000,118000,65900,99200
070800,4570 198 ST,840000,838000,684000,409000,641000
070700,4571 198 ST,183000,186000,147000,80000,124000
070810,4580 198 ST,772000,762000,653000,481000,648000
070690,4581 198 ST,209000,213000,165000,90500,139000
113410,4906 198 ST,10000,188000,150000,98600,150000
113420,4916 198 ST,253000,257000,200000,107000,166000
113430,4926 198 ST,213000,217000,169000,93400,141000
113440,4936 198 ST,369000,372000,292000,111000,171000
113450,4946 198 ST,190000,193000,150000,82800,126000
113460,4956 198 ST,263000,266000,206000,124000,189000
113470,4966 198 ST,187000,190000,148000,86200,130000
113480,4976 198 ST,271000,273000,210000,100000,150000
150990,5015 198 ST,218000,222000,175000,95000,143000
151000,5016 198 ST,277000,277000,225000,101000,142000
150980,5025 198 ST,270000,273000,210000,87000,133000
151010,5026 198 ST,194000,197000,154000,85700,131000
150970,5035 198 ST,335000,338000,259000,141000,206000
151020,5036 198 ST,348000,350000,270000,99900,154000
150960,5045 198 ST,306000,309000,236000,128000,192000
151030,5046 198 ST,252000,255000,197000,108000,160000
123766,5225 198 ST,295000,298000,203000,118000,163000
123767,5231 198 ST,248000,251000,170000,99100,137000
123768,5237 198 ST,243000,246000,168000,99300,135000
123769,5243 198 ST,261000,264000,183000,106000,146000
123770,5249 198 ST,367000,371000,254000,147000,187000
123771,5255 198 ST,244000,247000,169000,99000,134000
123827,5258 198 ST,247000,250000,170000,99000,145000
123772,5261 198 ST,297000,299000,204000,93300,126000
123773,5267 198 ST,309000,364000,246000,122000,171000
123762,5268 198 ST,256000,259000,176000,102000,142000
123774,5273 198 ST,359000,360000,244000,135000,186000
123761,5278 198 ST,222000,225000,154000,91200,124000
123775,5279 198 ST,209000,212000,145000,85900,115000
123776,5285 198 ST,238000,241000,164000,97200,131000
123779,5288 198 ST,164000,170000,118000,68400,94300
123777,5291 198 ST,214000,217000,148000,88000,118000
123778,5297 198 ST,266000,269000,183000,108000,148000
123760,5298 198 ST,309000,311000,211000,122000,161000
123782,5353 198 ST,0,0,0,0,0
121626,5363 198 ST,246000,249000,170000,99600,134000
121961,5378 198 ST,3295000,0,0,0,0
121625,5383 198 ST,157000,151000,85300,62600,79600
121624,5393 198 ST,187000,191000,133000,64500,85400
122230,5401 198 ST,133000,138000,95500,54500,64600
121401,101 19825 54 AVE,92500,0,0,0,0
122080,5427 198 ST,49800,66500,35100,15100,20000
122630,5520 198 ST,10000,10000,10000,10000,10000
120730,5560 198 ST,10000,10000,10000,10000,10000
121290,5580 198 ST,10000,10000,10000,5000,5000
052230,5620 198 ST,2081000,2317000,1943000,1465000,1373000
051900,5653 198 ST,685000,994000,769000,492000,542000
052220,5680 198 ST,2570000,3391000,1970000,286000,198000
051910,5713 198 ST,605000,592000,1245000,1238000,1233000
051982,5718 198 ST,82400,78800,53500,53400,53600
052290,5720 198 ST,161000,442000,360000,165000,197000
052130,5733 198 ST,204000,193000,146000,144000,14100
052010,5744 198 ST,8919000,8492000,5812000,4008000,3869000
051553,5763 198 ST,1315000,1711000,1419000,1120000,1089000
071120,4610 198A ST,161000,165000,135000,64100,88600
071130,4620 198A ST,119000,121000,95200,50900,79400
070890,4627 198A ST,972000,956000,769000,544000,805000
071140,4630 198A ST,241000,243000,193000,100000,156000
070900,4637 198A ST,537000,541000,447000,295000,448000
071150,4640 198A ST,274000,276000,213000,113000,105000
070910,4647 198A ST,232000,227000,165000,123000,130000
071160,4650 198A ST,132000,135000,106000,57500,90400
070920,4657 198A ST,223000,226000,188000,100000,151000
071170,4660 198A ST,120000,122000,96100,51700,81300
070930,4667 198A ST,143000,140000,130000,81900,98600
071180,4670 198A ST,125000,128000,102000,54300,84600
070940,4677 198A ST,373000,378000,302000,181000,240000
122900,5363 198A ST,10000,10000,10000,63000,87900
071250,4521 198B ST,213000,214000,180000,73600,100000
071260,4530 198B ST,184000,187000,147000,79200,123000
071240,4531 198B ST,309000,313000,258000,138000,191000
071270,4540 198B ST,286000,289000,241000,127000,180000
071230,4541 198B ST,315000,317000,245000,62100,94400
071280,4550 198B ST,412000,411000,346000,173000,272000
071220,4551 198B ST,355000,359000,291000,137000,181000
071290,4560 198B ST,420000,417000,352000,181000,263000
071210,4561 198B ST,231000,233000,181000,93900,150000
071300,4570 198B ST,385000,388000,301000,156000,250000
071202,4571 198B ST,860000,844000,674000,366000,579000
071310,4580 198B ST,192000,197000,155000,75100,119000
071201,4581 198B ST,519000,518000,417000,273000,426000
073000,4590 198B ST,397000,399000,314000,154000,205000
071192,4591 198B ST,536000,534000,435000,285000,452000
071191,4595 198B ST,489000,487000,392000,280000,444000
111570,4905 198B ST,304000,307000,236000,128000,186000
111560,4908 198B ST,933000,917000,725000,503000,789000
111590,4915 198B ST,310000,312000,240000,259000,405000
111640,4918 198B ST,221000,228000,178000,87700,134000
111600,4925 198B ST,213000,217000,171000,89700,145000
111700,4928 198B ST,298000,299000,242000,137000,192000
111610,4935 198B ST,320000,322000,253000,107000,159000
111690,4938 198B ST,164000,169000,132000,72800,108000
111620,4945 198B ST,292000,294000,225000,120000,107000
111680,4948 198B ST,350000,351000,278000,155000,221000
111631,4949 198B ST,624000,615000,496000,343000,543000
111632,4955 198B ST,124000,125000,96300,53600,83700
111670,4958 198B ST,158000,161000,126000,67000,108000
111633,4959 198B ST,597000,588000,475000,323000,509000
111650,4965 198B ST,176000,182000,145000,75800,113000
111660,4968 198B ST,297000,305000,260000,160000,200000
150010,5014 198B ST,265000,268000,207000,112000,148000
151090,5023 198B ST,199000,202000,161000,92000,136000
150020,5024 198B ST,259000,263000,207000,112000,175000
151080,5033 198B ST,381000,354000,258000,139000,206000
150030,5034 198B ST,308000,311000,239000,104000,157000
151070,5043 198B ST,219000,223000,173000,96800,148000
072530,4611 198C ST,348000,347000,270000,143000,216000
072520,4621 198C ST,155000,160000,125000,69000,103000
072690,4628 198C ST,160000,164000,130000,70400,109000
072510,4631 198C ST,274000,277000,227000,72100,113000
072680,4638 198C ST,357000,358000,279000,150000,222000
072500,4641 198C ST,166000,172000,143000,82200,115000
072490,4651 198C ST,235000,240000,187000,90600,138000
072480,4661 198C ST,132000,136000,108000,58100,90300
072540,4668 198C ST,121000,126000,99400,54900,81700
072470,4671 198C ST,317000,318000,244000,102000,157000
072460,4681 198C ST,191000,196000,154000,83200,127000
070051,4688 198C ST,352000,355000,286000,197000,307000
072450,4691 198C ST,188000,196000,162000,89800,124000
070050,4698 198C ST,369000,372000,302000,210000,336000
073890,4783 198C ST,0,0,0,0,0
073870,4793 198C ST,208000,212000,175000,101000,140000
073841,4795 198C ST,255000,243000,135000,99500,128000
073842,4797 198C ST,171000,175000,137000,74200,110000
072250,4500 199 ST,161000,167000,132000,71500,110000
072240,4501 199 ST,183000,189000,162000,82300,133000
072230,4511 199 ST,264000,266000,204000,112000,165000
072260,4512 199 ST,216000,218000,185000,116000,166000
072220,4521 199 ST,250000,252000,194000,54600,80700
072270,4522 199 ST,0,0,0,0,0
072210,4531 199 ST,146000,152000,120000,63900,97900
072280,4532 199 ST,939000,923000,292000,10000,131000
072200,4541 199 ST,159000,165000,130000,72000,108000
072290,4542 199 ST,164000,168000,132000,73400,108000
072190,4551 199 ST,264000,266000,205000,110000,163000
072720,4620 199 ST,134000,139000,112000,62800,93400
072710,4627 199 ST,128000,133000,112000,65800,91400
072730,4630 199 ST,230000,231000,180000,100000,127000
072700,4637 199 ST,222000,224000,174000,86800,124000
072640,4644 199 ST,157000,163000,129000,71200,108000
070052,4685 199 ST,360000,364000,300000,210000,317000
070054,4690 199 ST,260000,266000,218000,151000,237000
070053,4695 199 ST,364000,367000,300000,205000,327000
112840,4885 199 ST,208000,212000,166000,86600,130000
112830,4888 199 ST,227000,232000,184000,106000,150000
112780,4898 199 ST,210000,203000,132000,97300,111000
112210,5237 199 ST,10000,10000,10000,62200,10000
112480,5244 199 ST,10000,10000,10000,86900,10000
112200,5245 199 ST,10000,10000,10000,48500,10000
112190,5251 199 ST,10000,10000,10000,89900,10000
112180,5257 199 ST,10000,10000,10000,39200,10000
112170,5261 199 ST,10000,10000,10000,42400,10000
112160,5267 199 ST,10000,10000,10000,37200,10000
112150,5271 199 ST,10000,10000,10000,44200,10000
112420,5274 199 ST,10000,10000,10000,42300,10000
112140,5287 199 ST,10000,10000,10000,70800,10000
112650,5318 199 ST,10000,10000,10000,60400,10000
112640,5328 199 ST,10000,10000,10000,36000,10000
112630,5338 199 ST,10000,10000,10000,60100,10000
123640,5345 199 ST,10000,10000,10000,66500,10000
050570,5631 199 ST,34200,42600,24700,17500,21000
050660,5632 199 ST,355000,332000,309000,233000,197000
050650,5640 199 ST,130000,124000,65300,47400,26900
050571,5641 199 ST,115000,112000,70800,47000,59100
050641,5642 199 ST,373000,353000,331000,250000,214000
052441,5645 199 ST,847000,989000,1557000,1423000,1628000
050639,5658 199 ST,0,0,0,0,0
050550,5661 199 ST,283000,260000,241000,178000,95100
052431,5669 199 ST,2770000,2931000,2374000,1900000,1779000
072360,4505 199A ST,159000,163000,129000,73600,109000
072370,4506 199A ST,264000,268000,207000,111000,164000
072350,4515 199A ST,137000,141000,111000,63800,96700
072380,4516 199A ST,277000,275000,247000,95000,126000
072340,4525 199A ST,229000,231000,180000,91900,142000
072390,4526 199A ST,143000,146000,116000,62300,94800
072330,4535 199A ST,151000,155000,123000,75600,113000
072400,4536 199A ST,307000,308000,235000,123000,183000
072320,4545 199A ST,241000,244000,188000,104000,153000
072410,4546 199A ST,164000,169000,133000,75000,111000
072750,4625 199A ST,114000,117000,92600,52400,77900
072760,4626 199A ST,211000,213000,167000,54000,83800
072740,4635 199A ST,224000,226000,175000,94400,141000
072770,4636 199A ST,148000,150000,118000,93800,103000
072620,4645 199A ST,256000,257000,207000,110000,166000
072780,4646 199A ST,138000,144000,118000,89400,119000
072790,4656 199A ST,248000,250000,193000,104000,156000
073030,4666 199A ST,311000,319000,259000,148000,210000
073010,4668 199A ST,244000,248000,195000,92900,143000
073120,4760 199A ST,205000,208000,163000,87800,101000
073130,4761 199A ST,171000,177000,138000,71300,111000
073110,4770 199A ST,149000,154000,120000,65000,100000
073140,4771 199A ST,290000,292000,225000,119000,179000
073100,4780 199A ST,226000,228000,178000,95900,147000
073150,4781 199A ST,292000,294000,226000,119000,181000
073160,4791 199A ST,210000,215000,168000,89200,139000
111070,4930 199A ST,287000,290000,226000,109000,173000
111020,4940 199A ST,259000,245000,136000,84800,110000
111050,4941 199A ST,410000,407000,326000,167000,248000
111030,4950 199A ST,218000,220000,171000,105000,132000
111040,4951 199A ST,325000,327000,252000,134000,199000
111830,5018 199A ST,161000,164000,129000,66100,102000
151200,5019 199A ST,266000,269000,209000,112000,171000
151260,5021 199A ST,236000,240000,190000,62000,97500
111840,5028 199A ST,297000,296000,229000,121000,185000
111960,5058 199A ST,144000,138000,77100,55400,70100
151280,5059 199A ST,387000,389000,298000,158000,144000
111970,5068 199A ST,183000,187000,146000,78800,123000
111980,5078 199A ST,167000,170000,134000,71500,111000
111990,5088 199A ST,311000,315000,245000,131000,198000
112290,5210 199A ST,10000,10000,10000,41700,10000
112300,5216 199A ST,10000,10000,10000,36100,10000
112310,5230 199A ST,10000,10000,10000,36900,10000
112520,5235 199A ST,10000,10000,10000,64100,10000
112320,5244 199A ST,10000,10000,10000,47900,10000
112530,5255 199A ST,10000,10000,10000,64100,10000
112330,5258 199A ST,10000,10000,10000,50300,10000
112540,5265 199A ST,10000,10000,10000,62400,10000
112340,5272 199A ST,10000,10000,10000,37100,10000
112360,5279 199A ST,10000,10000,10000,36300,10000
112680,5323 199A ST,10000,10000,10000,75200,10000
123750,5328 199A ST,10000,10000,10000,253000,10000
112690,5333 199A ST,10000,10000,10000,66200,10000
123740,5336 199A ST,10000,10000,10000,78700,10000
123730,5340 199A ST,10000,10000,10000,107000,10000
073070,4485 200 ST,48600,62800,36000,31200,38300
073080,4489 200 ST,115000,119000,95800,48100,78000
072170,4503 200 ST,375000,375000,292000,137000,211000
070320,4513 200 ST,72700,96800,53900,32900,44400
070530,4557 200 ST,135000,138000,108000,50700,78800
070540,4581 200 ST,148000,144000,86800,66300,82500
070552,4591 200 ST,147000,152000,121000,65500,101000
072810,4635 200 ST,165000,161000,91900,67200,85200
071500,4645 200 ST,134000,138000,108000,59100,93400
071490,4651 200 ST,118000,121000,95400,55100,86000
071520,4657 200 ST,213000,217000,182000,122000,202000
080011,4660 200 ST,0,0,0,0,0
073040,4667 200 ST,476000,478000,414000,281000,460000
073020,4677 200 ST,142000,138000,77500,24300,32300
070055,4687 200 ST,0,0,0,0,0
070042,4737 200 ST,0,0,0,0,0
081360,4758 200 ST,241000,247000,194000,106000,162000
081350,4768 200 ST,375000,377000,305000,207000,331000
081340,4778 200 ST,189000,179000,93600,48600,66400
073950,4787 200 ST,0,0,0,0,0
084380,4788 200 ST,385000,363000,105000,77000,87300
073090,4791 200 ST,383000,388000,326000,99200,151000
037460,4816 200 ST,158000,209000,113000,77700,22200
037470,4820 200 ST,217000,220000,171000,93800,145000
034950,4826 200 ST,157000,165000,131000,69600,109000
111100,4831 200 ST,198000,201000,158000,85000,132000
034960,4836 200 ST,157000,163000,129000,67800,106000
110151,4841 200 ST,43300,52900,41400,31000,35500
034970,4846 200 ST,140000,143000,115000,61000,94300
110150,4851 200 ST,185000,191000,158000,77100,108000
037761,4852 200 ST,1049000,1030000,856000,627000,999000
110148,4861 200 ST,127000,123000,65900,46800,63800
037790,4866 200 ST,70600,95100,50300,26700,36400
037800,4870 200 ST,254000,260000,205000,110000,168000
110141,4875 200 ST,264000,267000,206000,108000,167000
037810,4880 200 ST,194000,199000,157000,89000,133000
112730,4887 200 ST,313000,316000,243000,122000,190000
032710,4900 200 ST,203000,207000,164000,84100,136000
036040,4910 200 ST,147000,152000,120000,62500,101000
036030,4920 200 ST,167000,171000,134000,69100,111000
036020,4930 200 ST,121000,117000,68900,48500,60700
111490,4951 200 ST,0,0,0,0,0
111480,4961 200 ST,0,0,0,0,0
035760,4962 200 ST,168000,161000,88900,57800,78300
110740,4975 200 ST,0,0,0,0,0
036810,4978 200 ST,118000,121000,95000,49100,80200
151190,4981 200 ST,237000,240000,187000,97000,155000
151180,4991 200 ST,97700,93000,49200,35300,48400
036800,4992 200 ST,285000,286000,221000,115000,176000
030139,5058 200 ST,0,0,0,0,0
037700,5060 200 ST,0,0,0,0,0
112000,5107 200 ST,0,0,0,0,0
034920,5302 200 ST,10000,10000,10000,83300,10000
034620,5310 200 ST,10000,10000,10000,65500,10000
123700,5311 200 ST,10000,10000,10000,78800,10000
034720,5320 200 ST,10000,10000,10000,30700,10000
122680,5323 200 ST,10000,10000,10000,18000,10000
122670,5327 200 ST,10000,10000,10000,14000,10000
122660,5331 200 ST,1,1,1,1,1
120860,5343 200 ST,59800,35100,338000,355000,10600
120230,5497 200 ST,10000,10000,10000,10000,10000
120220,5501 200 ST,10000,10000,10000,10000,10000
120210,5509 200 ST,10000,10000,10000,10000,10000
120200,5519 200 ST,10000,10000,10000,10000,10000
120190,5531 200 ST,10000,10000,10000,10000,10000
034640,5532 200 ST,0,0,0,0,0
034630,5536 200 ST,10000,10000,10000,10000,10000
033120,5542 200 ST,10000,10000,10000,10000,10000
033110,5552 200 ST,10000,10000,10000,10000,10000
033100,5562 200 ST,0,0,0,0,0
030011,5590 200 ST,24100,23000,242000,227000,245000
050369,101 5641 200 ST,554000,0,0,0,0
050380,5663 200 ST,63800,59100,29700,20800,29100
052330,5673 200 ST,64300,23,8,1,"0
2021"
052530,5756 200 ST,362000,458000,111000,237000,361000
050231,5783 200 ST,6888000,6,1,"5437000
2022","286000
2021"
050420,5796 200 ST,12400,23,6,1,"877189
2021"
050221,5797 200 ST,830000,1156000,1089000,713000,863000
052480,5825 200 ST,5947000,6374000,5724000,4467000,4679000
051490,5890 200 ST,2800,26300,25700,25200,24800
051040,5913 200 ST,0,0,0,0,0
050520,5923 200 ST,120000,113000,75900,74600,73200
051050,5926 200 ST,323000,512000,440000,301000,390000
051380,5933 200 ST,213000,213000,184000,190000,196000
052080,5948 200 ST,1353000,1567000,1317000,1144000,1389000
052370,5955 200 ST,1194000,1281000,1173000,904000,892000
052060,5958 200 ST,1185000,1640000,1493000,1088000,1295000
052380,5965 200 ST,1422000,1422000,1304000,1109000,1353000
135281,5968 200 ST,0,0,0,0,0
135280,5998 200 ST,0,0,0,0,0
042882,6070 200 ST,3346000,5549000,5993000,5750000,7551000
130304,6131 200 ST,703000,2272000,544000,1031000,6862000
083390,4505 200A ST,299000,303000,250000,108000,158000
083400,4515 200A ST,124000,128000,100000,55000,85700
